,Area,Size,Rent,Manhattan,Queens,Brooklyn,Bronx,Staten Island,Studio,One Bedroom,Two Bedrooms,Three Bedrooms,One Bathrooms,Two Bathrooms,Three Bathrooms,Four Bathrooms
233,69,725,2199,0,0,1,0,0,0,1,0,0,0,0,0,0
234,72,625,1750,0,0,1,0,0,0,1,0,0,0,0,0,0
235,66,645,1700,0,0,1,0,0,0,1,0,0,0,0,0,0
236,63,760,2850,0,0,1,0,0,0,1,0,0,0,0,0,0
237,65,750,2650,0,0,1,0,0,0,1,0,0,0,0,0,0
238,114,625,1700,0,0,1,0,0,0,1,0,0,0,0,0,0
239,58,740,2600,0,0,1,0,0,0,1,0,0,0,0,0,0
240,59,760,2500,0,0,1,0,0,0,1,0,0,0,0,0,0
241,60,675,1950,0,0,1,0,0,0,1,0,0,0,0,0,0
242,61,725,2350,0,0,1,0,0,0,1,0,0,0,0,0,0
243,62,650,1795,0,0,1,0,0,0,1,0,0,0,0,0,0
244,57,740,2400,0,0,1,0,0,0,1,0,0,0,0,0,0
245,56,660,1662,0,0,1,0,0,0,1,0,0,0,0,0,0
246,64,640,1700,0,0,1,0,0,0,1,0,0,0,0,0,0
247,51,650,1719,0,0,1,0,0,0,1,0,0,0,0,0,0
248,49,760,2700,0,0,1,0,0,0,1,0,0,0,0,0,0
249,50,724,2137,0,0,1,0,0,0,1,0,0,0,0,0,0
250,115,650,1500,0,0,0,1,0,0,1,0,0,0,0,0,0
251,87,675,1875,0,0,0,1,0,0,1,0,0,0,0,0,0
252,116,680,1537,0,0,0,1,0,0,1,0,0,0,0,0,0
253,117,725,2500,0,0,0,1,0,0,1,0,0,0,0,0,0
254,118,700,2000,0,0,0,1,0,0,1,0,0,0,0,0,0
255,119,712,2200,0,0,0,1,0,0,1,0,0,0,0,0,0
256,120,612,1500,0,0,0,1,0,0,1,0,0,0,0,0,0
257,121,660,1600,0,0,0,1,0,0,1,0,0,0,0,0,0
258,122,670,1650,0,0,0,1,0,0,1,0,0,0,0,0,0
259,123,712,2000,0,0,0,1,0,0,1,0,0,0,0,0,0
260,124,680,1575,0,0,0,1,0,0,1,0,0,0,0,0,0
261,125,660,1400,0,0,0,1,0,0,1,0,0,0,0,0,0
262,126,690,1675,0,0,0,1,0,0,1,0,0,0,0,0,0
263,127,650,1625,0,0,0,1,0,0,1,0,0,0,0,0,0
264,128,670,1550,0,0,0,1,0,0,1,0,0,0,0,0,0
265,129,660,1472,0,0,0,1,0,0,1,0,0,0,0,0,0
266,130,664,1575,0,0,0,1,0,0,1,0,0,0,0,0,0
267,131,684,1878,0,0,0,0,1,0,1,0,0,0,0,0,0
268,132,690,1950,0,0,0,0,1,0,1,0,0,0,0,0,0
269,133,700,1878,0,0,0,0,1,0,1,0,0,0,0,0,0
270,134,712,1950,0,0,0,0,1,0,1,0,0,0,0,0,0
271,131,724,1948,0,0,0,0,1,0,1,0,0,0,0,0,0
272,132,740,1950,0,0,0,0,1,0,1,0,0,0,0,0,0
273,133,690,1632,0,0,0,0,1,0,1,0,0,0,0,0,0
274,134,724,1800,0,0,0,0,1,0,1,0,0,0,0,0,0
275,131,690,1744,0,0,0,0,1,0,1,0,0,0,0,0,0
276,132,736,1999,0,0,0,0,1,0,1,0,0,0,0,0,0
277,133,700,1843,0,0,0,0,1,0,1,0,0,0,0,0,0
278,134,712,1950,0,0,0,0,1,0,1,0,0,0,0,0,0
