Borough,Area,Bedrooms,Bathrooms,Size,Rent
Manhattan,Midtown East,1 Bedroom,1 Bathroom,692,3400
Manhattan,Midtown South,1 Bedroom,1 Bathroom,724,3966
Manhattan,Midtown West,1 Bedroom,1 Bathroom,712,3542
Manhattan,Morningside Heights,1 Bedroom,1 Bathroom,670,2750
Manhattan,Nolita,1 Bedroom,1 Bathroom,700,3100
Manhattan,Midtown,1 Bedroom,1 Bathroom,650,2550
Manhattan,Roosevelt Island,1 Bedroom,1 Bathroom,630,2716
Manhattan,Soho,1 Bedroom,1 Bathroom,690,3450
Manhattan,Stuyvesant Town,1 Bedroom,1 Bathroom,712,3635
Manhattan,Tribeca,1 Bedroom,1 Bathroom,790,3700
Manhattan,Upper East Side,1 Bedroom,1 Bathroom,644,2795
Manhattan,Upper West Side,1 Bedroom,1 Bathroom,676,3149
Manhattan,Washington Heights,1 Bedroom,1 Bathroom,612,1800
Manhattan,West Harlem,1 Bedroom,1 Bathroom,622,2000
Manhattan,West Village,1 Bedroom,1 Bathroom,650,3895
Manhattan,Battery Park City,1 Bedroom,1 Bathroom,724,3850
Queens,Astoria,1 Bedroom,1 Bathroom,730,1925
Queens,Auburndale,1 Bedroom,1 Bathroom,612,1425
Queens,Bayside,1 Bedroom,1 Bathroom,650,1625
Queens,Briarwood,1 Bedroom,1 Bathroom,634,1650
Queens,Central Queens,1 Bedroom,1 Bathroom,700,1850
Queens,Corona,1 Bedroom,1 Bathroom,612,1670
Queens,Elmhurst,1 Bedroom,1 Bathroom,712,1900
Queens,Flushing,1 Bedroom,1 Bathroom,675,1725
Queens,Forest Hills,1 Bedroom,1 Bathroom,720,1900
Queens,Glendale,1 Bedroom,1 Bathroom,674,1700
Queens,Jackson Heights,1 Bedroom,1 Bathroom,684,1780
Queens,Jamaica,1 Bedroom,1 Bathroom,750,2075
Queens,Jamaica Estates,1 Bedroom,1 Bathroom,674,1765
Queens,Kew Gardens,1 Bedroom,1 Bathroom,675,1750
Queens,Kew Gardens Hills,1 Bedroom,1 Bathroom,690,1825
Queens,Long Island City,1 Bedroom,1 Bathroom,824,3208
Queens,Maspeth,1 Bedroom,1 Bathroom,650,1645
Queens,North Corona,1 Bedroom,1 Bathroom,644,1610
Queens,Northeast Queens,1 Bedroom,1 Bathroom,624,1750
Queens,Northwest Queens,1 Bedroom,1 Bathroom,812,2100
Queens,Oakland Gardens,1 Bedroom,1 Bathroom,650,1672
Queens,Jackson Heights,1 Bedroom,1 Bathroom,690,1945
Queens,Rego Park,1 Bedroom,1 Bathroom,675,1872
Queens,Ridgewood,1 Bedroom,1 Bathroom,724,2246
Queens,Rockaway All,1 Bedroom,1 Bathroom,675,1695
Queens,Sunnyside,1 Bedroom,1 Bathroom,685,1850
Queens,The Rockaways,1 Bedroom,1 Bathroom,690,1695
Queens,Woodhaven,1 Bedroom,1 Bathroom,656,1625
Queens,Woodside,1 Bedroom,1 Bathroom,675,1750
Queens,South Queens,1 Bedroom,1 Bathroom,670,1700
Brooklyn,Bath Beach,1 Bedroom,1 Bathroom,624,1499
Brooklyn,Bedford-Stuyvesant,1 Bedroom,1 Bathroom,724,2200
Brooklyn,Bensonhurst,1 Bedroom,1 Bathroom,625,1575
Brooklyn,Boerum Hill,1 Bedroom,1 Bathroom,775,2700
Brooklyn,Borough Park,1 Bedroom,1 Bathroom,655,1550
Brooklyn,Brighton Beach,1 Bedroom,1 Bathroom,675,1750
Brooklyn,Brooklyn Heights,1 Bedroom,1 Bathroom,734,2300
Brooklyn,Brooklyn Heights,1 Bedroom,1 Bathroom,790,2784
Brooklyn,Brownsville,1 Bedroom,1 Bathroom,612,1487
Brooklyn,Bushwick,1 Bedroom,1 Bathroom,724,2290
Brooklyn,Carroll Gardens,1 Bedroom,1 Bathroom,754,2500
Brooklyn,Clinton Hill,1 Bedroom,1 Bathroom,760,2500
Brooklyn,Cobble Hill,1 Bedroom,1 Bathroom,780,2775
Brooklyn,Columbia St Waterfront District,1 Bedroom,1 Bathroom,760,2575
Bronx,Concourse,1 Bedroom,1 Bathroom,600,1512
Brooklyn,Coney Island,1 Bedroom,1 Bathroom,700,2100
Brooklyn,Crown Heights,1 Bedroom,1 Bathroom,724,2150
Brooklyn,DUMBO,1 Bedroom,1 Bathroom,850,3747
Brooklyn,Ditmas Park,1 Bedroom,1 Bathroom,650,1700
Brooklyn,Downtown Brooklyn,1 Bedroom,1 Bathroom,850,3369
Brooklyn,Dyker Heights,1 Bedroom,1 Bathroom,624,1500
Brooklyn,East Brooklyn,1 Bedroom,1 Bathroom,700,2200
Brooklyn,East Flatbush,1 Bedroom,1 Bathroom,670,1750
Brooklyn,East New York,1 Bedroom,1 Bathroom,640,1680
Brooklyn,Flatbush,1 Bedroom,1 Bathroom,670,1775
Brooklyn,Fort Greene,1 Bedroom,1 Bathroom,750,2769
Brooklyn,Gowanus,1 Bedroom,1 Bathroom,724,2725
Brooklyn,Gravesend,1 Bedroom,1 Bathroom,624,1650
Brooklyn,Greenpoint,1 Bedroom,1 Bathroom,750,2425
Brooklyn,Greenwood,1 Bedroom,1 Bathroom,725,2199
Brooklyn,Kensington,1 Bedroom,1 Bathroom,625,1750
Brooklyn,Midwood,1 Bedroom,1 Bathroom,645,1700
Brooklyn,Northwest Brooklyn,1 Bedroom,1 Bathroom,760,2850
Brooklyn,North Brooklyn,1 Bedroom,1 Bathroom,750,2650
Brooklyn,Ocean Parkway,1 Bedroom,1 Bathroom,625,1700
Brooklyn,Park Slope,1 Bedroom,1 Bathroom,740,2600
Brooklyn,Prospect Heights,1 Bedroom,1 Bathroom,760,2500
Brooklyn,Prospect Lefferts Gardens,1 Bedroom,1 Bathroom,675,1950
Brooklyn,Prospect Park,1 Bedroom,1 Bathroom,725,2350
Brooklyn,Prospect Park South,1 Bedroom,1 Bathroom,650,1795
Brooklyn,Red Hook,1 Bedroom,1 Bathroom,740,2400
Brooklyn,Sheepshead Bay,1 Bedroom,1 Bathroom,660,1662
Brooklyn,South Brooklyn,1 Bedroom,1 Bathroom,640,1700
Brooklyn,Sunset Park,1 Bedroom,1 Bathroom,650,1719
Brooklyn,Williamsburg,1 Bedroom,1 Bathroom,760,2700
Brooklyn,Windsor Terrace,1 Bedroom,1 Bathroom,724,2137
Bronx,Soundview,1 Bedroom,1 Bathroom,650,1500
Bronx,Riverdale,1 Bedroom,1 Bathroom,675,1875
Bronx,Tremont,1 Bedroom,1 Bathroom,680,1537
Bronx,University Heights,1 Bedroom,1 Bathroom,725,2500
Bronx,Woodstock,1 Bedroom,1 Bathroom,700,2000
Bronx,Parkchester,1 Bedroom,1 Bathroom,712,2200
Bronx,Norwood,1 Bedroom,1 Bathroom,612,1500
Bronx,Morris Heights,1 Bedroom,1 Bathroom,660,1600
Bronx,Morris Park,1 Bedroom,1 Bathroom,670,1650
Bronx,Mott Haven,1 Bedroom,1 Bathroom,712,2000
Bronx,Kingsbridge,1 Bedroom,1 Bathroom,680,1575
Bronx,Melrose,1 Bedroom,1 Bathroom,660,1400
Bronx,Fordham,1 Bedroom,1 Bathroom,690,1675
Bronx,Bronx,1 Bedroom,1 Bathroom,650,1625
Bronx,Bronxwood,1 Bedroom,1 Bathroom,670,1550
Bronx,Bedford Park,1 Bedroom,1 Bathroom,660,1472
Bronx,Belmont,1 Bedroom,1 Bathroom,664,1575
Staten Island,Arlington,1 Bedroom,1 Bathroom,684,1878
Staten Island,Bloomfield,1 Bedroom,1 Bathroom,690,1950
Staten Island,Graniteville,1 Bedroom,1 Bathroom,700,1878
Staten Island,Grant City,1 Bedroom,1 Bathroom,712,1950
Staten Island,Arlington,1 Bedroom,1 Bathroom,724,1948
Staten Island,Bloomfield,1 Bedroom,1 Bathroom,740,1950
Staten Island,Graniteville,1 Bedroom,1 Bathroom,690,1632
